GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AB4001,AB4002,AB4003,AB4004,AB4005,AB4006,AB4007,AB4008,AB4009,AB4010,AB4011,AB4012,AB4013,AB4014,AB4015,AB4016,AB4017,AB4018,AB4019,AB4020,AB4021,AB4022
"G0500710","1840","Arkansas","050","Johnson","0710","Johnson","42","710",7023,50,6635,762,6,197925,1462,0,63,5176,10309,4,2,0,14755,200,296468,0,0,0,1170,0
"G0500730","1840","Arkansas","050","Lafayette","0730","Lafayette","42","730",0,0,605,0,0,136560,398,0,45,918,11982,0,0,0,0,0,1312890,0,0,0,0,0
"G0500750","1840","Arkansas","050","Lawrence","0750","Lawrence","42","750",11836,0,9248,186,0,161355,5381,0,10,2176,4882,0,0,0,9100,0,13974,0,0,0,0,0
"G0500870","1840","Arkansas","050","Madison","0870","Madison","42","870",4132,667,4518,610,0,146755,4537,0,562,3418,3831,4,0,0,14280,0,2690,25,1027,0,0,0
"G0500890","1840","Arkansas","050","Marion","0890","Marion","42","890",3097,0,1951,122,0,79013,1204,0,404,463,1138,0,0,0,6127,0,3253,0,140,0,0,0
"G0500930","1840","Arkansas","050","Mississippi","0930","Mississippi","42","930",0,0,0,0,0,107615,0,0,0,961,2947,0,0,0,0,0,22500,0,0,0,13442,0
"G0500950","1840","Arkansas","050","Monroe","0950","Monroe","42","950",550,0,2460,40,0,54542,600,0,115,545,2161,117,0,0,260,0,28375,0,0,0,600,0
"G0501070","1840","Arkansas","050","Phillips","1070","Phillips","42","1070",151,0,3850,4,0,160675,724,0,127,1797,13459,5,0,0,1455,0,146409,0,0,0,10764,0
"G0501090","1840","Arkansas","050","Pike","1090","Pike","42","1090",653,0,853,98,0,70115,435,0,0,344,2326,1,0,0,1018,0,11998,0,0,0,0,0
"G0501110","1840","Arkansas","050","Poinsett","1110","Poinsett","42","1110",2385,0,599,27,0,37623,625,0,139,652,2461,0,0,0,1870,0,22729,0,0,0,1930,0
"G0501150","1840","Arkansas","050","Pope","1150","Pope","42","1150",3418,0,2730,217,25,121874,2144,0,108,2377,4725,0,0,0,13576,0,82344,0,0,0,960,0
"G0501190","1840","Arkansas","050","Pulaski","1190","Pulaski","42","1190",559,0,6920,295,0,164324,808,0,0,4390,5922,44,0,0,0,0,7869,0,0,0,2675,0
"G0501210","1840","Arkansas","050","Randolph","1210","Randolph","42","1210",5843,0,9940,395,0,86170,2390,0,440,2170,3591,144,0,0,3150,0,8156,0,0,0,0,0
"G0501230","1840","Arkansas","050","St Francis","1230","St Francis","42","1230",1438,0,3942,11,0,128470,922,0,92,2630,11160,2,0,0,2502,0,53338,0,0,0,3953,0
"G0501250","1840","Arkansas","050","Saline","1250","Saline","42","1250",598,0,1690,99,0,9500,280,0,97,825,3375,0,0,0,940,0,64500,70,0,0,135,0
"G0501270","1840","Arkansas","050","Scott","1270","Scott","42","1270",1546,0,2996,125,0,104355,1341,0,0,2089,5280,0,0,0,0,0,13190,0,0,0,0,0
"G0501290","1840","Arkansas","050","Searcy","1290","Searcy","42","1290",1071,0,1742,0,0,38280,1186,0,394,413,967,2,0,0,8826,0,3878,0,200,0,110,0
"G0501330","1840","Arkansas","050","Sevier","1330","Sevier","42","1330",1297,2,8404,108,9,150730,1482,0,237,1312,11418,3,100,0,3477,4634,705394,0,125,0,489,0
"G0501390","1840","Arkansas","050","Union","1390","Union","42","1390",1098,25,1765,89,20,111365,1005,0,10,570,9451,0,0,0,125,620,404599,0,0,0,0,0
"G0501410","1840","Arkansas","050","Van Buren","1410","Van Buren","42","1410",1545,0,3257,63,0,79810,767,0,346,779,1836,0,0,0,1220,0,8051,0,50,0,12,0
"G0501430","1840","Arkansas","050","Washington","1430","Washington","42","1430",16384,8,47368,764,28,380490,12416,0,0,10458,13806,16,8,0,6070,0,18685,0,0,0,0,0
"G0501450","1840","Arkansas","050","White","1450","White","42","1450",327,0,1745,110,0,37910,0,0,0,1179,2700,0,0,0,0,0,463,0,0,0,0,0
"G0900010","1840","Connecticut","090","Fairfield","0010","Fairfield","1","10",10802,30,319781,111530,69923,216894,59047,58,102,550587,0,49057,0,6600,0,0,0,63,0,0,13919,884
"G0900030","1840","Connecticut","090","Hartford","0030","Hartford","1","30",13449,1394,219084,177516,66571,278863,122365,1973,1509,517748,27,70193,0,2878,471380,0,0,2826,5600,0,29365,762
"G0900050","1840","Connecticut","090","Litchfield","0050","Litchfield","1","50",23574,631,316687,128143,59625,219278,279832,1002,870,508880,0,94318,0,59495,0,0,0,755,42354,0,24152,92
