RDD ANALYSIS RESULTS
Year: 1890
Analysis Date: 2025-06-10
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

====================================================================================================
RDD Results: Basic Model (Year: 1890)
Includes both linear (p1) and quadratic (p2) polynomial results
Clustered results use clustering by nearest border point
====================================================================================================

Segment                                                 Coeff    Std Err    P-value     Obs Free    Obs Slave      BW Free     BW Slave
Robust: cerrd uniform p2                              -0.0087     0.1367     0.9491          322          331       106.09       106.09
Robust: certwo uniform p2                              0.0178     0.1281     0.8896          327          377       107.67       124.91
Robust: cersum uniform p2                              0.0530     0.1251     0.6717          356          365       120.33       120.33
Robust: mserd epanechnikov p2                          0.0796     0.1076     0.4591          479          534       185.46       185.46
Robust: msetwo epanechnikov p2                         0.0742     0.1033     0.4725          512          581       197.27       204.82
Robust: msesum epanechnikov p2                         0.0309     0.0949     0.7446          598          660       240.20       240.20
Robust: cerrd epanechnikov p2                          0.0057     0.1357     0.9665          344          359       118.52       118.52
Robust: certwo epanechnikov p2                         0.0209     0.1288     0.8712          367          392       126.07       130.89
Robust: cersum epanechnikov p2                         0.0605     0.1175     0.6068          420          453       153.50       153.50
Robust Clustered: mserd triangular p1                  0.0345     0.1631     0.8326          357          370       121.74       121.74
Robust Clustered: msetwo triangular p1                -0.0354     0.1507     0.8141          356          591       120.70       210.83
Robust Clustered: msesum triangular p1                -0.0179     0.1560     0.9085          467          514       177.24       177.24
Robust Clustered: cerrd triangular p1                  0.0235     0.1687     0.8892          306          319       101.23       101.23
Robust Clustered: certwo triangular p1                -0.0332     0.1586     0.8343          304          512       100.37       175.32
Robust Clustered: cersum triangular p1                 0.0031     0.1602     0.9843          407          432       147.39       147.39
Robust Clustered: mserd uniform p1                     0.0437     0.1692     0.7960          273          288        89.08        89.08
Robust Clustered: msetwo uniform p1                   -0.0211     0.1618     0.8964          272          425        87.78       144.93
Robust Clustered: msesum uniform p1                    0.0599     0.1642     0.7154          342          354       117.44       117.44
Robust Clustered: cerrd uniform p1                     0.0129     0.1754     0.9415          231          249        74.08        74.08
Robust Clustered: certwo uniform p1                   -0.0210     0.1689     0.9010          227          365        72.99       120.52
Robust Clustered: cersum uniform p1                    0.0936     0.1606     0.5602          297          306        97.66        97.66
Robust Clustered: mserd epanechnikov p1                0.0390     0.1636     0.8114          330          343       111.05       111.05
Robust Clustered: msetwo epanechnikov p1              -0.0300     0.1524     0.8439          332          542       111.46       188.68
Robust Clustered: msesum epanechnikov p1              -0.0239     0.1580     0.8796          439          480       164.81       164.81
Robust Clustered: cerrd epanechnikov p1                0.0045     0.1722     0.9793          281          295        92.34        92.34
Robust Clustered: certwo epanechnikov p1              -0.0369     0.1642     0.8220          283          460        92.68       156.90
Robust Clustered: cersum epanechnikov p1               0.0041     0.1607     0.9797          389          408       137.05       137.05
Robust Clustered: mserd triangular p2                  0.0701     0.1752     0.6890          535          598       212.81       212.81
Robust Clustered: msetwo triangular p2                 0.0594     0.1735     0.7321          577          622       232.21       222.86
Robust Clustered: msesum triangular p2                 0.0293     0.1706     0.8638          640          708       264.64       264.64
Robust Clustered: cerrd triangular p2                  0.0712     0.1781     0.6892          452          500       172.36       172.36
Robust Clustered: certwo triangular p2                 0.0777     0.1781     0.6628          488          520       188.08       180.50
Robust Clustered: cersum triangular p2                 0.0553     0.1749     0.7518          541          600       214.34       214.34
Robust Clustered: mserd uniform p2                     0.0727     0.1836     0.6920          475          522       181.03       181.03
Robust Clustered: msetwo uniform p2                    0.0770     0.1833     0.6743          476          530       183.82       183.38
Robust Clustered: msesum uniform p2                    0.0341     0.1730     0.8437          528          587       206.74       206.74
Robust Clustered: cerrd uniform p2                     0.0840     0.1766     0.6342          405          429       146.62       146.62
Robust Clustered: certwo uniform p2                    0.0836     0.1750     0.6328          408          436       148.88       148.53
Robust Clustered: cersum uniform p2                    0.0738     0.1769     0.6765          443          489       167.44       167.44
