GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G5100530,1860,Virginia,30198,12774,2643250,118440,169086,287526,9.193081669136008,42.300814623485,56.17231021790049,12000,354622
G2700050,1860,Minnesota,386,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G1701170,1860,Illinois,24602,0,6481325,233613,142848,376461,17.216458012915016,0,105.1973924697887,0,1836043
G3150595,1860,Nebraska Territory,19,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G1901070,1860,Iowa,13271,0,3204065,91363,162475,253838,12.622479691771918,0,77.12689503736325,0,1324715
G4800490,1860,Texas,244,0,3015,91,1219,1310,2.301526717557252,0,14.062974463443712,40000,0
G3701190,1860,North Carolina,17374,6541,2823949,95938,181562,277500,10.176392792792793,37.64820996891907,62.18061727604417,2444800,550235
G5100010,1860,Virginia,18586,4507,3979720,84889,81762,166651,23.880564773088672,24.24943505864629,145.9169559122033,0,624717
G5101370,1860,Virginia,10851,6111,3779299,107743,68993,176736,21.383866331703786,56.317390102294716,130.66142741615317,0,312897
G3150635,1860,Nebraska Territory,39,0,0,30,450,480,0,0,0,0,0
G3700310,1860,North Carolina,8186,1969,411945,10388,51055,61443,6.7045066158878965,24.053261666259466,40.966417904238604,1600,52508
G1801090,1860,Indiana,16110,0,5767548,142092,113343,255435,22.57931763462329,0,137.96597053398872,0,1660056
G4500850,1860,South Carolina,23859,16682,3893683,170903,328074,498977,7.803331616487333,69.91910809338195,47.68054718431245,7243200,595480
G4802410,1860,Texas,4037,1611,732120,19026,256101,275127,2.661025635433818,39.90587069606143,16.259613791228546,1516800,112360
G2400110,1860,Maryland,11129,739,1222685,61101,31606,92707,13.188702039759672,6.640309102345224,80.58667256661752,0,247455
G1701010,1860,Illinois,9214,0,1898935,64352,86538,150890,12.584896282059779,0,76.89724985140951,0,544143
G2800510,1860,Mississippi,17791,11975,6074192,136992,208384,345376,17.587186139164274,67.30931369793716,107.46264541365072,16736000,845724
G0501290,1860,Arkansas,5271,93,318198,18765,29550,48315,6.585904998447687,1.7643710870802503,40.24172872089729,3600,294115
G2901050,1860,Missouri,5182,305,553361,18390,52174,70564,7.841973244147157,5.8857583944423,47.91665837905138,20000,266165
G4500390,1860,South Carolina,22111,15534,6314029,233295,284364,517659,12.197274653777873,70.25462439509747,74.52877286679622,7908000,522200
G0501170,1860,Arkansas,8854,2839,2051830,35704,163185,198889,10.316457923766523,32.06460356900836,63.036454553567964,2598000,272405
G5101330,1860,Virginia,7531,3439,1701047,54459,53390,107849,15.772487459318121,45.66458637631124,96.3743269514573,400,245982
G0501430,1860,Arkansas,14673,1493,2010927,59379,174803,234182,8.587026329948502,10.17515163906495,52.46914192816908,6000,663540
G3701990,1860,North Carolina,8655,362,944719,46135,265675,311810,3.0297905775953304,4.182553437319469,18.5128711290946,16000,245051
G2300210,1860,Maine,15032,0,1764327,97674,138047,235721,7.484810432672524,0,45.73429331731076,0,45443
G0100130,1860,Alabama,18122,6818,2950744,99959,306628,406587,7.257349595535519,37.62277894272155,44.34444373629599,5395600,476301
G1700290,1860,Illinois,14203,0,4112628,125387,87571,212958,19.31192066041191,0,118.00125760680767,0,2232847
G0100910,1860,Alabama,31171,24409,10291862,244821,334102,578923,17.77760082083455,78.30675948798562,108.62613258300063,24971200,1384616
G2600070,1860,Michigan,290,0,NA,NA,NA,NA,NA,0,NA,NA,NA
G4100390,1860,Oregon,4780,0,991640,108508,52803,161311,6.147379905896064,0,37.56221727699881,0,4958
G5500250,1860,Wisconsin,43922,0,9423494,279124,301566,580690,16.228097608018047,0,99.15823288553798,0,570536
G0500470,1860,Arkansas,7298,962,1030882,33033,89039,122072,8.444868602136443,13.181693614688955,51.600518296406946,1011200,401995
