GISJOIN,year,state,census_pop,enslaved,farmv_total,improved,unimproved,land,farmv,pc_enslaved,farmv_na,cotton,corn
G4802770,1850,Texas,3978,1085,448262,16031,237313,253344,1.7693807629152456,27.275012569130215,15.902826217922229,422000,116594
G4500190,1850,South Carolina,72805,44376,3681543,127584,589439,717023,5.134483831062602,60.9518577020809,46.14767256177711,1688400,318737
G3901430,1850,Ohio,14305,0,2308341,72806,77885,150691,15.318373360054682,0,137.67835312328864,0,312689
G4802230,1850,Texas,2623,154,101694,5447,99503,104950,0.9689757027155789,5.871139916126573,8.708952042796142,3200,48453
G5500450,1850,Wisconsin,8566,0,1044736,47307,87774,135081,7.7341446983661655,0,69.51288363717403,0,133595
G2601570,1850,Michigan,291,0,0,0,0,0,NA,0,NA,0,0
G2100990,1850,Kentucky,9093,1301,626926,47659,135584,183243,3.4212821226458856,14.307709226877819,30.749771998921517,0,434613
G2900410,1850,Missouri,7514,1778,702733,34651,94054,128705,5.460028747911892,23.662496672877296,49.07360255225151,0,377397
G4804690,1850,Texas,2019,571,202310,4072,130545,134617,1.5028562514392685,28.281327389796928,13.50735935309902,108000,54110
G5100930,1850,Virginia,9353,3395,945102,65925,92901,158826,5.950549658116429,36.29851384582487,53.482302451524376,3600,315699
G4700410,1850,Tennessee,8016,668,476559,29220,111381,140601,3.389442464847334,8.333333333333332,30.46360377814001,0,417251
G4802930,1850,Texas,2608,618,102640,8638,326374,335012,0.3063770849999403,23.696319018404907,2.7536535052410436,241200,99800
G3300030,1850,New Hampshire,20157,0,3500651,152631,142843,295474,11.847577113383919,0,106.48355847791147,0,147715
G1800190,1850,Indiana,15828,0,2117303,65631,84356,149987,14.116576769986732,0,126.87685537802487,0,567964
G3901050,1850,Ohio,17971,0,1646218,58139,87445,145584,11.307684910429717,0,101.63111966997178,0,267404
G4800655,1850,Texas,4991,1902,485524,24062,263295,287357,1.6896195324979033,38.10859547184933,15.185948871429114,629200,167250
G2801350,1850,Mississippi,4643,2547,451190,27372,48462,75834,5.949705936651107,54.85677363773422,53.474719258510994,1990800,190930
G3600670,1850,New York,85890,0,17055334,317280,113291,430571,39.61096776141449,0,356.0151380845935,0,782220
G5101910,1850,Virginia,14612,2131,1953811,100362,136123,236485,8.261881303253906,14.583903640843143,74.25607045838625,0,438900
G4950615,1850,Utah Territory,152,0,2160,352,197,549,3.9344262295081966,0,35.361804483516316,0,36
G3700510,1850,North Carolina,20610,7217,1295053,77260,557473,634733,2.040311438037726,35.01698204754973,18.337894764998737,62400,376843
G4500310,1850,South Carolina,16831,10041,2840486,123162,540408,663570,4.280612444806124,59.6577743449587,38.47325417049749,5202000,471357
G3300090,1850,New Hampshire,42343,0,7838130,401145,263690,664835,11.789586889980221,0,105.9623544134974,0,228799
G0100050,1850,Alabama,23632,10780,1962320,147124,229149,376273,5.215149638693183,45.61611374407583,46.87268006008623,8629200,742132
G2600770,1850,Michigan,13179,0,2056860,73200,81782,154982,13.271605734859532,0,119.2824314911809,0,366578
G4804710,1850,Texas,3964,1301,422445,11976,433885,445861,0.947481389939914,32.820383451059534,8.515765630968154,349200,102475
G3600750,1850,New York,62198,0,8037526,193220,170060,363280,22.124878881303676,0,198.85380881062719,0,396605
G0600850,1850,California,NA,NA,0,0,0,0,NA,NA,NA,0,0
G4200330,1850,Pennsylvania,12586,0,1718869,61115,117468,178583,9.62504269723322,0,86.50788149295215,0,55943
G4803550,1850,Texas,698,47,108268,995,93988,94983,1.139867134118737,6.73352435530086,10.244888678197766,0,7150
G2901230,1850,Missouri,6003,696,370767,19955,35089,55044,6.7358295182036185,11.594202898550725,60.54023447449113,0,266690
G4700490,1850,Tennessee,4454,148,218002,21561,100654,122215,1.7837581311622959,3.322855859901212,16.032047012844405,400,180089
G3700870,1850,North Carolina,7074,418,459457,35006,357042,392048,1.1719406807329715,5.908962397512016,10.533159042999415,0,278221
G4701790,1850,Tennessee,13861,930,1700231,86794,116150,202944,8.377833293913591,6.709472621023014,75.29822282927842,0,395742
G1801690,1850,Indiana,12138,0,1977112,44252,111124,155376,12.724693646380393,0,114.36689941246956,0,434962
G5100350,1850,Virginia,5909,154,495858,39161,135292,174453,2.84235868686695,2.606193941445253,25.546528589907535,0,132189
G2800010,1850,Mississippi,18601,14395,2231043,77675,93766,171441,13.013474023133323,77.38831245631955,116.96239736457876,6989200,334353
G3600110,1850,New York,55458,0,15086322,298633,99863,398496,37.85815165020477,0,340.26119151030395,0,704954
G4804030,1850,Texas,2498,942,389269,12759,419704,432463,0.9001209352013929,37.710168134507605,8.090099716036676,280800,61619
G1701330,1850,Illinois,7679,0,722157,39687,74186,113873,6.341775486726441,0,56.998558813494135,0,399250
G2901050,1850,Missouri,2498,140,143570,10312,12927,23239,6.17797667713757,5.604483586869495,55.526369187501736,0,136829
G2101630,1850,Kentucky,7393,1573,634378,40366,80573,120939,5.245437782683832,21.27688353848235,47.14490359751924,0,373145
G1300550,1850,Georgia,6815,1680,787401,29325,78186,107511,7.323911041660853,24.651504035216433,65.82578887042717,667200,301180
G4800370,1850,Texas,2912,1641,187394,19045,335398,354443,0.5286999602192736,56.35302197802198,4.7518452585280215,445200,93110
G2101370,1850,Kentucky,10093,3355,2285321,90094,77288,167382,13.653325925129344,33.240860001981574,122.71325315317938,0,740499
G5100310,1850,Virginia,23245,10866,2368184,122912,158227,281139,8.42353426596808,46.74553667455367,75.70897365906319,2400,339267
G2101710,1850,Kentucky,7756,831,448494,43662,91922,135584,3.3078681850365825,10.714285714285714,29.73043112086235,0,384705
G1701150,1850,Illinois,3988,0,786603,33330,69901,103231,7.619833189642646,0,68.48547557665941,0,698220
G1901070,1850,Iowa,4822,0,465951,21075,62263,83338,5.591098898461686,0,50.25163379924892,0,346650
G2900090,1850,Missouri,3467,150,154319,11563,14910,26473,5.829297775091603,4.326507066628209,52.39251575057558,0,194525
G1900110,1850,Iowa,672,0,44675,2967,9237,12204,3.66068502130449,0,32.90147544977281,0,19370
G5101930,1850,Virginia,8080,3557,1100857,68627,61450,130077,8.463117999338854,44.022277227722775,76.0647440201102,2800,269115
G2100830,1850,Kentucky,11397,1439,771845,56868,228342,285210,2.706234003015322,12.626129683249978,24.32306824907318,0,653838
G3700890,1850,North Carolina,6853,924,376746,26251,126767,153018,2.4621024977453634,13.48314606741573,22.12886506567738,0,163186
G5101170,1850,Virginia,20630,12462,2470541,215646,179183,394829,6.257243008998833,60.407174018419774,56.238798488725116,13600,552466
G4201050,1850,Pennsylvania,6048,0,730986,23732,56281,80013,9.135840425930786,0,82.11103324581876,0,18562
G3900030,1850,Ohio,12109,0,1637290,50766,87259,138025,11.862271327658034,0,106.61562701901232,0,288450
G0500890,1850,Arkansas,2308,126,137795,7776,17477,25253,5.456579416306973,5.459272097053726,49.04260067734098,440000,144302
G2801030,1850,Mississippi,16299,11323,1708764,123394,176741,300135,5.693318006896896,69.47051966378307,51.17035788151926,5022000,895713
G1700430,1850,Illinois,9290,0,1714065,86200,59231,145431,11.78610475070652,0,105.93105767008473,0,198363
G0900110,1850,Connecticut,51821,0,8350759,221997,103168,325165,25.681604723755633,0,230.8209207872006,0,234412
G5100490,1850,Virginia,9751,6329,1510498,94153,83630,177783,8.49630167113841,64.90616347041329,76.3629919591414,0,220535
G3701710,1850,North Carolina,18443,2000,962741,104119,302795,406914,2.3659569343890845,10.844222740335088,21.26472874311447,8547600,552454
G5101490,1850,Virginia,7596,4408,1128184,57603,175313,232916,4.843737656494187,58.030542390731966,43.53450642784155,800,261510
G4701150,1850,Tennessee,6314,551,648694,39985,202533,242518,2.6748282601703792,8.726639214444093,24.040799965628636,9765200,468294
G1800950,1850,Indiana,12375,0,1875335,61925,116833,178758,10.49091509191197,0,94.2901624513961,0,895817
G5000170,1850,Vermont,27296,0,4807788,226257,120142,346399,13.879335679375519,0,124.74458180818884,0,70306
G0101030,1850,Alabama,10125,3437,893597,64123,102821,166944,5.352675148552808,33.94567901234568,48.10873073367068,1910800,464440
G3400170,1850,New Jersey,21822,3,2964995,9223,7729,16952,174.90532090608778,0.013747594171020073,1572.0126392561378,0,37155
G0501390,1850,Arkansas,10298,4767,687300,56841,97435,154276,4.455002722393632,46.29054185278695,40.0406377075492,2814800,341406
G4200930,1850,Pennsylvania,13239,0,2614949,67132,38002,105134,24.87253409933989,0,223.54916232357266,0,138279
G1701430,1850,Illinois,17547,0,2089921,83718,100790,184508,11.326993951481779,0,101.80466531414376,0,1013289
G1701690,1850,Illinois,10573,0,806991,37776,60313,98089,8.227130463150813,0,73.94373713665635,0,398160
G4800390,1850,Texas,4841,3507,748056,22251,1023706,1045957,0.7151881004668452,72.44370997727742,6.427961868485027,1412400,213225
G4800570,1850,Texas,1110,234,75365,1085,38570,39655,1.900516958769386,21.08108108108108,17.08145106637589,43600,7660
