GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ASW001,AUJ001,AUJ002,AUK001,AUK002,AUK003,ATB001,ATB002,ATB003,ATB004,ATB005,ATB006,ATB007,ATB008,ATB009,ATB010,ATB011,ATB012,ATB013,ATB014,ATB015,ATB016,ATB017,ATB018,ATB019,ATB020,ATB021,ATB022,ATB023,ATB024,ATB025,ATB026,ATB027,ATB028,ATB029,ATB030,ATB031
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne","42","230",7884,36719,110428,708200,36800,226980,100,25,290112,45250,29,1670,2275,641,0,0,0,0,0,0,30,18269,0,0,445,1,2,0,6303,0,57,616,7,0,271,10938,12077
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland","42","250",11362,55406,158756,916840,49750,331430,0,50,238200,19036,75,50,9018,1127,0,0,0,0,0,0,0,20886,0,0,167,0,20,0,930,0,0,2733,200,0,1348,5774,35199
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia","42","270",19893,105914,223211,1325560,85110,555020,0,170,419905,16812,0,250,13352,668,0,0,0,0,0,0,0,37774,0,0,73,0,0,2430,1294,0,87,11891,42,75,1426,3072,72425
"G0500290","1890","Arkansas","050","Conway","0290","Conway","42","290",19459,92417,105445,2042030,92260,451980,40,0,496401,45893,224,5443,12060,4242,0,0,0,0,0,0,0,23221,0,0,473,150,0,720,3174,0,1,122,2,0,120,10474,18077
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead","42","310",12025,52996,77576,1058680,67760,374100,0,0,442723,28064,605,3264,3838,1440,0,0,0,0,0,0,0,11406,0,0,2561,0,0,0,3914,0,10,666,18,0,84,12318,9203
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford","42","330",21714,97307,112311,2764680,91680,471370,10,5,709182,78088,348,5941,13375,3950,0,0,0,0,0,0,0,39338,0,0,1260,0,0,0,14525,0,95,1761,350,10,131,32697,28242
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden","42","350",13940,63216,89287,2232072,49350,368680,0,0,209412,290,25,0,19186,8526,0,0,0,0,0,0,0,360,0,0,312,0,0,0,350,0,2,150,0,0,0,2797,1690
"G0500370","1890","Arkansas","050","Cross","0370","Cross","42","370",7693,32435,55968,557360,25060,202090,0,0,147674,4133,15,80,4656,1234,0,0,0,0,0,0,0,3302,0,0,575,0,0,0,2040,0,40,248,10,0,25,6890,6865
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas","42","390",9296,43634,146250,623390,48580,222200,10,0,183256,13346,50,146,5791,434,0,0,0,0,0,0,0,20009,0,0,117,10,0,0,3007,0,11,4661,17,0,1436,4887,33687
"G0500410","1890","Arkansas","050","Desha","0410","Desha","42","410",10324,45742,77137,1695450,71880,332570,0,36,194646,524,84,0,16641,6240,10,2,26,0,0,0,0,1543,0,0,580,9,0,0,102,0,51,201,18,30,18,2003,7473
"G0500430","1890","Arkansas","050","Drew","0430","Drew","42","430",17352,90575,193324,1526080,77650,504810,40,70,344335,29740,34,233,17609,4402,0,0,0,0,0,0,0,32539,0,0,1112,0,1,0,302,0,31,1952,160,0,190,2834,37500
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner","42","450",18342,95872,155464,1530990,80610,502940,6,86,556324,69808,16,5054,12141,2752,0,0,0,0,0,0,0,24989,0,0,760,0,120,0,3658,0,2,444,86,0,222,8901,20106
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin","42","470",19934,120348,115865,2271550,111930,541010,10,0,744816,137094,160,12040,10954,1600,0,0,0,0,0,0,0,57538,0,0,3390,0,29,0,9800,0,27,544,164,0,58,24310,26253
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton","42","490",10984,52330,147839,990700,54260,346290,80,15,430907,105794,476,17172,2487,703,0,0,0,0,0,0,0,33036,0,0,1460,4,10,0,14770,0,62,162,269,640,72,17824,12506
"G0500510","1890","Arkansas","050","Garland","0510","Garland","42","510",15328,27148,86969,908300,36490,197280,40,0,206549,32119,202,2448,1011,274,0,0,0,0,0,0,0,12123,0,0,872,1,0,0,3070,0,1598,2389,64,0,172,19654,32649
"G0500530","1890","Arkansas","050","Grant","0530","Grant","42","530",7786,46918,121000,619570,41560,260820,0,0,216444,15499,0,0,5335,534,0,0,0,0,0,0,0,19269,0,0,231,0,0,0,1855,0,42,12634,319,0,863,6175,31782
"G0500550","1890","Arkansas","050","Greene","0550","Greene","42","550",12908,57560,95332,1164050,63310,393250,0,8,455667,29699,0,9550,2421,48,0,0,0,0,0,0,0,21550,0,0,3160,8,0,0,19373,0,80,1232,93,1200,3,30190,16824
