GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002,AJ1001,AJ1002,AJ1003,AJ1004,AJ1005,AJ1006,AJ1007,AJ1008,AJ1009,AJ1010,AJ1011,AJ1012,AJ1013,AJ1014,AJ1015,AJ1016,AJ1017,AJ1018,AJ1019,AJ1020,AJ1021,AJ1022,AJ1023,AJ1024,AJ1025,AJ1026,AJ1027,AJ1028,AJ1029,AJ1030,AJ1031,AJ1032,AJ1033,AJ1034
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",16963,88902,155551,29866,488967,17970,1,48468,582,267764,33353,439,0,3,75,5446,10439,1162,0,26236,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,235,1079
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",20081,77007,238371,6730,1105677,48061,0,7551,2508,343569,7718,0,0,505,1960,6458,8194,6951,880,41262,0,120010,120,0,1,0,0,0,0,0,0,0,0,0,0,0,2873,0,920,4423
"G0101270","1870","Alabama","010","Walker","1270","Walker","41","1270",6543,23454,75,85001,296480,15469,2927,6204,621,158810,2420,0,0,0,1213,928,3243,1158,1371,33553,0,36652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,17,1322
"G0101290","1870","Alabama","010","Washington","1290","Washington","41","1290",3912,14778,40915,24513,155620,6465,0,0,7,57034,0,0,0,4500,625,1803,5103,150,363,14260,150,315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,628,0,170,1850
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox","41","1310",28377,165907,178325,26357,2347868,73684,1,1,41,660978,1725,0,0,30,189,20095,2611,533,1472,91460,125,47428,0,45,9,0,0,0,0,0,0,0,0,0,0,797,0,0,1262,7551
"G0101330","1870","Alabama","010","Winston","1330","Winston","41","1330",4155,17847,103936,0,149410,7172,100,3178,1471,94165,2162,22,10,2,7954,205,5259,146,1834,16157,0,42759,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,0,58,335
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave","61","150",179,2240,0,60,4100,1550,0,0,0,30,0,80,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute","65","255",,3150,0,1255,43300,30050,0,10430,0,0,0,2900,975,0,0,0,165,0,0,0,711,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima","61","190",5716,10451,0,7006,151840,18055,27052,0,0,32011,25,54997,0,0,100,0,679,3417,575,16,0,800,14500,4800,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma","61","270",1621,1894,0,156,5400,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas","42","10",8268,30363,12246,69586,965012,57850,200,0,100,217450,0,0,0,0,0,12315,40,740,17327,28598,85,3250,0,0,590,0,0,0,0,0,0,0,0,0,0,0,3620,0,6,2760
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley","42","30",8042,59952,177611,2520,718592,50656,0,243,10,201905,2905,0,0,750,460,7856,2543,1076,4559,34269,26,55284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,35,4939
"G0500070","1870","Arkansas","050","Benton","0070","Benton","42","70",13831,50767,5841,136638,677035,37763,0,84779,347,340046,40569,0,48,0,35280,1,13740,140,18595,9866,120,98246,30,0,99,0,0,0,0,0,100,0,0,0,625,0,20132,0,160,8899
"G0500090","1870","Arkansas","050","Boone","0090","Boone","42","90",7032,28816,72885,5826,601945,42614,295,41645,4471,341042,22837,0,0,0,56365,206,9449,1307,12394,10027,0,92958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11009,0,188,2000
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley","42","110",8646,42313,195128,60,607980,72033,0,4726,80,222825,2930,0,0,0,2460,5177,2408,140,5095,48356,0,55701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3289
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun","42","130",3853,20572,67542,42,258884,16776,20,235,25,102705,835,70,0,0,125,2593,91,5,10,13746,10,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0
