GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AOT001,APP001,APP002,APP003,APP004
"G0500870","1880","Arkansas","050","Madison","0870","Madison","42","870",11455,11331,124,0,0
"G0500890","1880","Arkansas","050","Marion","0890","Marion","42","890",7907,7864,43,0,0
"G0500910","1880","Arkansas","050","Miller","0910","Miller","42","910",9919,5324,4595,0,0
"G0500930","1880","Arkansas","050","Mississippi","0930","Mississippi","42","930",7332,4671,2654,5,2
"G0500950","1880","Arkansas","050","Monroe","0950","Monroe","42","950",9574,4365,5209,0,0
"G0500970","1880","Arkansas","050","Montgomery","0970","Montgomery","42","970",5729,5471,258,0,0
"G0500990","1880","Arkansas","050","Nevada","0990","Nevada","42","990",12959,9236,3722,0,1
"G0501010","1880","Arkansas","050","Newton","1010","Newton","42","1010",6120,6115,5,0,0
"G0501030","1880","Arkansas","050","Ouachita","1030","Ouachita","42","1030",11758,5504,6253,0,1
"G0501050","1880","Arkansas","050","Perry","1050","Perry","42","1050",3872,3072,800,0,0
"G0501070","1880","Arkansas","050","Phillips","1070","Phillips","42","1070",21262,5444,15809,9,0
"G0501090","1880","Arkansas","050","Pike","1090","Pike","42","1090",6345,5951,392,0,2
"G0501110","1880","Arkansas","050","Poinsett","1110","Poinsett","42","1110",2192,1902,290,0,0
"G0501130","1880","Arkansas","050","Polk","1130","Polk","42","1130",5857,5792,61,0,4
"G0501150","1880","Arkansas","050","Pope","1150","Pope","42","1150",14322,13413,909,0,0
"G0501170","1880","Arkansas","050","Prairie","1170","Prairie","42","1170",8435,5691,2734,0,10
"G0501190","1880","Arkansas","050","Pulaski","1190","Pulaski","42","1190",32616,17667,14921,12,16
"G0501210","1880","Arkansas","050","Randolph","1210","Randolph","42","1210",11724,11097,627,0,0
"G0501230","1880","Arkansas","050","St Francis","1230","St Francis","42","1230",8389,4921,3467,0,1
"G0501250","1880","Arkansas","050","Saline","1250","Saline","42","1250",8953,7586,1366,0,1
"G0501270","1880","Arkansas","050","Scott","1270","Scott","42","1270",9174,9085,83,0,6
"G0501290","1880","Arkansas","050","Searcy","1290","Searcy","42","1290",7278,7262,16,0,0
"G0501310","1880","Arkansas","050","Sebastian","1310","Sebastian","42","1310",19560,17970,1541,0,49
"G0501330","1880","Arkansas","050","Sevier","1330","Sevier","42","1330",6192,5088,1096,0,8
"G0501350","1880","Arkansas","050","Sharp","1350","Sharp","42","1350",9047,8871,176,0,0
"G0501370","1880","Arkansas","050","Stone","1370","Stone","42","1370",5089,4984,99,0,6
"G0501390","1880","Arkansas","050","Union","1390","Union","42","1390",13419,6985,6434,0,0
"G0501410","1880","Arkansas","050","Van Buren","1410","Van Buren","42","1410",9565,9447,118,0,0
"G0501430","1880","Arkansas","050","Washington","1430","Washington","42","1430",23844,22894,944,0,6
"G0501450","1880","Arkansas","050","White","1450","White","42","1450",17794,15761,2032,0,1
"G0501470","1880","Arkansas","050","Woodruff","1470","Woodruff","42","1470",8646,4163,4483,0,0
"G0501490","1880","Arkansas","050","Yell","1490","Yell","42","1490",13852,12733,1118,0,1
"G0600010","1880","California","060","Alameda","0010","Alameda","71","10",62976,57785,686,4402,103
"G0600030","1880","California","060","Alpine","0030","Alpine","71","30",539,521,1,17,0
"G0600050","1880","California","060","Amador","0050","Amador","71","50",11384,9924,73,1115,272
"G0600070","1880","California","060","Butte","0070","Butte","71","70",18721,14270,136,3793,522
"G0600090","1880","California","060","Calaveras","0090","Calaveras","71","90",9094,7832,56,1037,169
"G0600110","1880","California","060","Colusa","0110","Colusa","71","110",13118,11698,97,970,353
"G0600130","1880","California","060","Contra Costa","0130","Contra Costa","71","130",12525,11712,33,733,47
"G0600150","1880","California","060","Del Norte","0150","Del Norte","71","150",2584,1731,8,434,411
"G0600170","1880","California","060","El Dorado","0170","El Dorado","71","170",10683,8869,132,1489,193
"G0600190","1880","California","060","Fresno","0190","Fresno","71","190",9478,7891,40,753,794
"G0600230","1880","California","060","Humboldt","0230","Humboldt","71","230",15512,13313,23,241,1935
"G0600270","1880","California","060","Inyo","0270","Inyo","71","270",2928,2197,4,90,637
"G0600290","1880","California","060","Kern","0290","Kern","71","290",5601,4563,4,702,332
"G0600330","1880","California","060","Lake","0330","Lake","71","330",6596,5339,14,469,774
"G0600350","1880","California","060","Lassen","0350","Lassen","71","350",3340,2958,2,50,330
"G0600370","1880","California","060","Los Angeles","0370","Los Angeles","71","370",33381,31707,188,1170,316
"G0600410","1880","California","060","Marin","0410","Marin","71","410",11324,9791,37,1334,162
"G0600430","1880","California","060","Mariposa","0430","Mariposa","71","430",4339,3395,63,697,184
