year,state,slavery_legal,GISJOIN,farmv,border_county
1850,Arkansas,1,G0501390,4.455002722393632,0
1850,Pennsylvania,0,G4200930,24.87253409933989,0
1850,Illinois,0,G1701430,11.326993951481779,0
1850,Illinois,0,G1701690,8.227130463150813,0
1850,Texas,1,G4800390,0.7151881004668452,0
1850,Texas,1,G4800570,1.900516958769386,0
1850,Georgia,1,G1302150,7.645370051963931,0
1850,Arkansas,1,G0500490,6.360440127224276,0
1850,Kentucky,1,G2101070,3.5572920081892563,0
1850,Louisiana,1,G2200930,27.50919632366667,0
1850,Kentucky,1,G2100470,8.728855667497202,0
1850,Louisiana,1,G2200190,3.2218817272381917,0
1850,South Carolina,1,G4500830,4.732022770830701,0
1850,Virginia,1,G5101450,9.256379302339464,0
1850,Missouri,1,G2900030,8.607465990553289,0
1850,North Carolina,1,G3701070,5.400903882069228,0
1850,Michigan,0,G2600050,10.841076449323872,0
1850,Missouri,1,G2901730,5.910924923814195,1
1850,Georgia,1,G1302410,1.176269915651359,0
1850,Kentucky,1,G2101870,10.886036302500077,0
1850,Virginia,1,G5100570,12.401411580185597,0
1850,Michigan,0,G2601150,11.547689504373178,0
1850,Tennessee,1,G4700710,2.7467294794316683,0
1850,Georgia,1,G1301490,5.204816678648454,0
1850,Illinois,0,G1700170,12.04475372618695,0
1850,Virginia,1,G5101937,4.098254124196652,0
1850,Tennessee,1,G4701870,15.564073370149895,0
1850,Georgia,1,G1300310,0.6965257513605191,0
1850,Illinois,0,G1700390,9.236059849789681,0
1850,Minnesota Territory,0,G2750055,0,0
1850,Indiana,0,G1801730,6.445700150361352,1
1850,Kentucky,1,G2100890,5.2374826737574605,1
1850,Mississippi,1,G2800570,2.5259616126460527,0
1850,Virginia,1,G5101135,12.257836608128299,1
1850,Wisconsin,0,G5501010,12.179669822606556,0
1850,New Jersey,0,G3400090,15.875719261782422,1
1850,Pennsylvania,0,G4200190,13.622232066180388,0
1850,Ohio,0,G3900010,12.553302328935034,1
1850,Virginia,1,G5100250,3.5068956632583874,0
1850,Indiana,0,G1800990,6.647177040240692,0
1850,Ohio,0,G3900730,9.317525555906839,0
1850,Maryland,1,G2400170,10.243457688355598,0
1850,Indiana,0,G1800530,11.073931695359073,0
1850,Indiana,0,G1800490,5.830018680090324,0
1850,Virginia,1,G5101053,6.477977357282874,0
1850,Virginia,1,G5101175,2.4572885327928558,0
1850,Kentucky,1,G2100330,4.142094330497657,0
1850,Virginia,1,G5100837,23.097368262329358,1
1850,Louisiana,1,G2200250,6.899507965831977,0
1850,Pennsylvania,0,G4200850,14.344452723143352,0
1850,Missouri,1,G2902150,6.408320175739686,0
1850,Pennsylvania,0,G4201210,7.527838965095796,0
1850,Virginia,1,G5100360,10.303212290502794,0
1850,Mississippi,1,G2800330,6.571955615734961,0
1850,North Carolina,1,G3701310,3.9789979938720537,0
1850,Ohio,0,G3901130,29.754286306464675,0
1850,Georgia,1,G1301930,5.751552628185842,0
1850,Indiana,0,G1801450,12.93180636339124,0
1850,Kentucky,1,G2100850,2.110101069725649,0
1850,Rhode Island,0,G4400070,34.888214859993155,0
1850,Arkansas,1,G0501170,3.066401401146083,0
1850,Arkansas,1,G0500550,5.969217906817663,0
1850,California,0,G0600370,0.6265920296799646,0
1850,Kentucky,1,G2100090,4.1050197412530105,0
1850,Illinois,0,G1700290,6.166356050553394,0
1850,Louisiana,1,G2201070,11.162914697379893,0
1850,Mississippi,1,G2800290,3.4963181796376546,0
1850,Florida,1,G1200650,3.3117148983862297,0
1850,Michigan,0,G2601170,6.7317073170731705,0
1850,Florida,1,G1200230,5.230254523548269,0
1850,Missouri,1,G2901870,5.349593379736161,0
1850,Georgia,1,G1301410,4.59087866544124,0
1850,North Carolina,1,G3701790,2.267464722050527,0
1850,New York,0,G3600350,21.06116631719695,0
1850,Alabama,1,G0100570,2.7975756334084547,0
1850,Mississippi,1,G2801070,5.961967120353249,0
1850,Texas,1,G4800010,1.8563938890264173,0
1850,Michigan,0,G2600870,10.09923570856468,0
1850,New York,0,G3600310,11.178593429327218,0
1850,Maryland,1,G2400410,22.139197620129735,0
1850,Michigan,0,G2600450,8.692357999273344,0
1850,Arkansas,1,G0500570,6.6071691874623,0
1850,Indiana,0,G1801390,17.863993389112697,0
1850,Virginia,1,G5100470,13.56102741648732,0
1850,Virginia,1,G5100530,4.917148512435349,0
1850,Indiana,0,G1800050,13.884710652104811,0
1850,Missouri,1,G2901590,4.9266300290778275,0
1850,Vermont,0,G5000110,13.916321525443,0
1850,Virginia,1,G5100150,21.015169895660282,0
1850,Illinois,0,G1701790,9.724871028558612,0
1850,South Carolina,1,G4500690,6.491579855122456,0
1850,District of Columbia,1,G1100017,358.4,0
1850,Texas,1,G4802890,1.5469214400785685,0
1850,Iowa,0,G1900430,5.047513116474292,0
1850,Maine,0,G2300150,15.27591498095252,0
1850,Virginia,1,G5101890,8.256767079610748,0
1850,California,0,G0600090,5.186234817813765,0
1850,Texas,1,G4804770,2.459974158542269,0
1850,Ohio,0,G3900070,19.404067690998342,0
1850,Michigan,0,G2600930,10.024214027527066,0
1850,North Carolina,1,G3701890,2.4894292668174027,0
1850,Kentucky,1,G2100710,2.6478758389562445,0
1850,Ohio,0,G3900610,82.93363117870723,1
1850,Arkansas,1,G0500650,7.468356474007104,0
1850,Virginia,1,G5101010,9.628174482640219,0
1850,Georgia,1,G1301070,1.0786273412175167,0
1850,Pennsylvania,0,G4200950,68.19630466354688,0
1850,Georgia,1,G1301970,6.313965870156525,0
1850,Mississippi,1,G2800910,2.6545328435276287,0
1850,Kentucky,1,G2102390,37.56330535829567,0
1850,Ohio,0,G3901690,28.182177981404926,0
1850,Georgia,1,G1300930,1.2036711341269453,0
1850,Pennsylvania,0,G4200430,32.35624974636685,0
1850,Wisconsin,0,G5500010,NA,0
1850,Kentucky,1,G2101030,16.468004411494395,0
1850,Arkansas,1,G0501010,4.767147879422545,0
1850,Iowa,0,G1901250,4.080069602098939,0
1850,Illinois,0,G1701450,4.13086919682648,0
1850,Ohio,0,G3901230,10.597384651680091,0
1850,Ohio,0,G3900370,14.646416952178043,0
1850,Indiana,0,G1801150,23.479586058771844,1
1850,Arkansas,1,G0501050,5.0899716942984226,0
1850,Illinois,0,G1702010,9.73893905333618,0
1850,Ohio,0,G3901470,20.080840155287365,0
1850,Missouri,1,G2901970,3.7662707655585286,1
1850,Wisconsin,0,G5500490,5.410530639566725,0
1850,Kentucky,1,G2101010,8.71475666578698,1
1850,Virginia,1,G5101957,4.140628347018922,0
1850,Missouri,1,G2901490,7.203795835636631,0
1850,Texas,1,G4804190,1.4971776056780586,0
1850,Arkansas,1,G0500930,5.5255252721289345,0
1850,Illinois,0,G1700790,3.7127428502473756,0
1850,Illinois,0,G1700210,7.001801142599837,0
1850,Illinois,0,G1700990,8.507129897374837,0
1850,Alabama,1,G0100990,3.255698443436885,0
1850,Illinois,0,G1700810,5.171279891469415,0
1850,Ohio,0,G3900250,24.93173009992141,1
1850,Texas,1,G4801410,NA,0
1850,Missouri,1,G2901650,17.054056150147357,0
1850,Arkansas,1,G0501410,6.143547206635765,0
1850,Illinois,0,G1701350,4.857316131877826,0
1850,Virginia,1,G5100155,8.956992864424057,0
1850,Texas,1,G4800290,1.4970408716237416,0
