point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
32,-0.7541161046911709,0.17120822345089604,1.0594394905070154e-5,179,154,227.31662710071484,227.31662710071484,0.011815610646587482,-0.07774745011940148,2.8690497157651736e-4,0.03241207874909452
33,-0.7849584341733729,0.24376119481286768,0.0012810369504759106,93,42,145.6604255293382,145.6604255293382,0.016489869155971698,-0.09276815770684146,-1.7501392263604494e-4,0.032311832641487695
34,-0.9683927665393824,0.17560558039556268,3.4959409965963246e-8,98,67,159.58332802092053,159.58332802092053,-0.020563172547809448,-0.09799000769346979,-0.0011793843187138003,0.025249360623260948
35,-0.8851371848698089,0.1705606355354053,2.1077476485914663e-7,89,65,159.1399736970683,159.1399736970683,-0.037603920783197776,-0.10340750170469692,-0.001332778317567794,0.02024868192383995
36,-0.910157172609409,0.18565942115957015,9.47236507469268e-7,78,80,162.09149042631165,162.09149042631165,-0.012926888928152146,-0.09079223140382098,-9.610280557521286e-4,0.009443280000588684
37,-0.5992271649595078,0.20622941842247178,0.003665101340603146,68,81,164.35121990533642,164.35121990533642,0.05116453332802612,-0.07485345213287535,2.1707462904856206e-4,0.008857541339756083
38,-0.24258711604898653,0.22410082390914612,0.2790344300515972,54,80,157.5985997852589,157.5985997852589,0.06401300879172044,-0.0827902459860708,5.689430820600415e-4,0.038685006309545744
39,-0.01311570594108713,0.16055766135592006,0.9348944659544816,24,57,124.21980009639297,124.21980009639297,0.043954154933823916,-0.05627390599561387,3.74111229442562e-4,0.12393028321404077
40,-0.04995571000190563,0.17102280526996266,0.7702103965473341,17,55,119.30054395272384,119.30054395272384,0.08787003454224858,0.008962734578712625,9.011210234841705e-4,0.20584404076922236
41,-0.01150273774505341,0.188603234238763,0.9513679057480895,31,58,128.4990631452748,128.4990631452748,0.052634432010045695,-0.08702513009849362,2.4369764638997537e-4,0.08491502045698915
42,-0.25059579792521214,0.1843253761186421,0.1739788413179409,46,51,132.2294465406126,132.2294465406126,0.13031531374550376,-0.08727453334674631,3.1516883093865426e-4,0.026287491773161607
43,-0.5943368328444721,0.26593317948846906,0.02542323059312667,61,48,141.54531721081705,141.54531721081705,0.1431383325150324,-0.05354340512893178,-1.862342251322247e-4,-0.0023147122433569804
44,-0.1403852012997581,0.24363909889896013,0.5644790273613458,104,74,178.3101060506425,178.3101060506425,0.08189437317153474,-0.06405786325939544,-0.001078528515856056,-0.013027602823265635
45,0.17221386860408752,0.2872639115034439,0.5488414741733947,94,65,167.89343905097252,167.89343905097252,0.07178675566522572,-0.030669200782728778,-0.0016978935541361734,-0.013928220475824957
46,0.44272456477797034,0.2480724894023404,0.07431679955487146,76,66,159.54596427014468,159.54596427014468,0.0759564099798627,0.017092015565660756,-0.0024657902293517987,-0.010740710377687243
47,0.28776623971902815,0.23901516438288017,0.22860254496383647,67,71,163.18416906877846,163.18416906877846,0.10760166968692787,0.062245264287386505,-0.0039048142341507057,-0.010134472555880998
48,-0.42432003255312606,0.24031671892351758,0.07745122065644455,79,95,204.24789400381076,204.24789400381076,0.10058770231393548,0.05824739193921616,-0.0043379431771223415,-0.015305723369984377
49,-0.4294245865479808,0.2532654380549916,0.08997085445322121,86,87,207.144958802542,207.144958802542,0.10278271692380173,0.06965814806157818,-0.004751994410778529,-0.017078361693499654
50,-0.6013637717564075,0.23984770209308987,0.012166655237104227,75,61,181.24464396962853,181.24464396962853,0.10515832069847719,0.17749390533996354,-0.008601512216304277,-0.02416021594921791
