bw_method,kernel,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
msetwo,triangular,1870,3,-0.21173342254555588,0.2573326032404083,0.4106213905665226,375,167,76.27318020297234,157.92956495095476,-0.08900699037273221,7.360931611087211e-4,NA
msesum,triangular,1870,3,-0.3270114246715981,0.25581642352891953,0.20114188985732914,195,191,84.82867377414735,84.82867377414735,-0.07666414160885976,5.087322132622677e-4,NA
cerrd,triangular,1870,3,-0.44287839396696116,0.36946548754128955,0.2306444979835814,142,128,64.28664592842571,64.28664592842571,-0.07085877406973863,7.788393852587213e-4,NA
certwo,triangular,1870,3,-0.2286476847001112,0.4363082518168196,0.600243213262359,250,99,52.1670753746569,108.01599588163192,-0.08945725050553927,6.745298597167168e-4,NA
cersum,triangular,1870,3,-0.3982517015127518,0.4111810332915627,0.3327669542649066,126,117,58.0186089911546,58.0186089911546,-0.06749362109460108,8.535413694367021e-4,NA
mserd,uniform,1870,3,-0.46740517590684033,0.33712219656770637,0.16560763107234847,128,122,60.05038325132515,60.05038325132515,-0.08157526037278469,5.284961694771166e-4,NA
msetwo,uniform,1870,3,-0.22544017021238955,0.27986472017589387,0.4205123720020446,297,122,60.18887478098659,128.3856679059579,-0.08993876462416572,8.044035086301345e-4,NA
msesum,uniform,1870,3,-0.3609356342651797,0.2159835833148659,0.09469692757995231,183,182,80.67815045154026,80.67815045154026,-0.08147285988258461,2.709057778449149e-4,NA
cerrd,uniform,1870,3,-0.6474580991546887,0.5575947962957255,0.24557587166186068,74,68,41.07148621589578,41.07148621589578,-0.060691081643689034,0.0012925413172855478,NA
certwo,uniform,1870,3,-0.31258033540297553,0.48739668615972614,0.5213106759620456,204,68,41.16620755893371,87.80943441525433,-0.09457535477820841,7.007037058668984e-4,NA
cersum,uniform,1870,3,-0.4200994736476993,0.35964091172240725,0.24276315046812072,117,113,55.179856726747545,55.179856726747545,-0.0815921780217824,8.211326072838983e-4,NA
mserd,epanechnikov,1870,3,-0.3417455154028681,0.24163035923298237,0.15726448660958914,195,191,85.03248825602287,85.03248825602287,-0.07907752533980843,4.614170296460612e-4,NA
msetwo,epanechnikov,1870,3,-0.3314439775001632,0.16917517613703625,0.0500921562054164,352,262,112.56387530906595,150.15975835283362,-0.08059756692305409,2.9902433903775333e-4,NA
msesum,epanechnikov,1870,3,-0.33084316883362896,0.25920445073995707,0.20182150620601616,182,182,80.29792101557781,80.29792101557781,-0.07847504305069025,5.128177572325992e-4,NA
cerrd,epanechnikov,1870,3,-0.42144652533157373,0.39275579277895556,0.2832487721946265,126,117,58.15800799628528,58.15800799628528,-0.07066708317921362,8.316042860277446e-4,NA
certwo,epanechnikov,1870,3,-0.26934008467779524,0.25433299482398186,0.2895971955337654,237,172,76.98811236249843,102.70183321826764,-0.0857990460334905,5.523677773718373e-4,NA
cersum,epanechnikov,1870,3,-0.37759803711234796,0.42470592505805216,0.37395946258206525,115,113,54.919798635650096,54.919798635650096,-0.06761919432718667,8.633614787239669e-4,NA
mserd,triangular,1870,4,-0.2862501414809681,0.13025710904976986,0.027979201016489316,247,235,75.54152198284751,75.54152198284751,-0.030676641243455618,0.0367288295925249,8.861069018599611e-4
msetwo,triangular,1870,4,-0.3129909985195845,0.12066163995536955,0.009487859725768577,309,253,79.79149650260419,101.41801957538489,-0.039242123318362465,0.03649811950129955,9.308951204924499e-4
msesum,triangular,1870,4,-0.29280803004858424,0.10462539982951131,0.00513195307656006,362,366,126.01252249769057,126.01252249769057,-0.04038375519834533,0.03333670244519328,6.014711782755342e-4
cerrd,triangular,1870,4,-0.1926753438977042,0.15286037401678998,0.20750121202724933,179,168,51.48916354036033,51.48916354036033,-0.018821883986601996,0.031119072911305615,6.541916462294739e-4
certwo,triangular,1870,4,-0.265961165276163,0.14237249536525687,0.06175292351532225,226,184,54.38594966997793,69.12660559105694,-0.028212023923923024,0.035308952817987994,8.456134873722012e-4
cersum,triangular,1870,4,-0.3120163202876251,0.12291380174836433,0.011132974886276337,271,267,85.89023901967657,85.89023901967657,-0.03389242164729411,0.037297055533533664,8.872277086265595e-4
mserd,uniform,1870,4,-0.2866358277844751,0.13754521431980404,0.03716572195450658,190,184,55.4607664545605,55.4607664545605,-0.0378501800558578,0.03934552258208024,0.0010758765543915614
msetwo,uniform,1870,4,-0.3908572972614116,0.11237721737259904,5.050133917283068e-4,251,285,93.86001188543375,78.86730513670203,-0.039896470644760866,0.03937695239570091,6.282444880053662e-4
msesum,uniform,1870,4,-0.3081656941307833,0.1107762755216001,0.00540459380703914,280,273,89.19380984409017,89.19380984409017,-0.04901361302158734,0.03628470789567206,7.915789867120968e-4
cerrd,uniform,1870,4,-0.2443528879131836,0.16207636710924211,0.13164657279543554,139,126,37.802104049492094,37.802104049492094,-0.021209871988997608,0.03476909482053057,7.662391707792275e-4
certwo,uniform,1870,4,-0.2990378348274553,0.13454444987908842,0.0262431150303349,184,199,63.97506133072874,53.75602007453862,-0.03718084188951003,0.03871398435112539,0.0010727579500645966
cersum,uniform,1870,4,-0.3475463037713568,0.13458725567893895,0.009814077755233241,203,194,60.794574179918406,60.794574179918406,-0.040069167335048096,0.039904627270254185,0.0010572173773486598
mserd,epanechnikov,1870,4,-0.30449247503528887,0.13233358580493154,0.021394666424254888,226,221,69.20241778700061,69.20241778700061,-0.03294102675175878,0.038087103493856606,9.567637288746609e-4
msetwo,epanechnikov,1870,4,-0.329293997811632,0.12319048050172367,0.007516562124199825,285,225,71.82705586740494,91.54733442093523,-0.04106353358377644,0.03809248709806574,9.873335911116192e-4
msesum,epanechnikov,1870,4,-0.3142180540812115,0.10329826348805092,0.002351272844117308,355,356,121.9861920657945,121.9861920657945,-0.04325323330286242,0.03341641744295948,5.72575220670845e-4
cerrd,epanechnikov,1870,4,-0.2170627127581042,0.15546701328981447,0.1626549180612269,165,154,47.16842490454814,47.16842490454814,-0.01828290159164063,0.032525003931609925,6.293545357171602e-4
certwo,epanechnikov,1870,4,-0.2645487735393465,0.14608782303624546,0.07015809738544376,208,161,48.95738037974866,62.39873846801612,-0.02927276186009966,0.036211805897396254,8.444712955786367e-4
cersum,epanechnikov,1870,4,-0.3420329885910222,0.12129540553133206,0.004804839964691543,263,258,83.14588888436293,83.14588888436293,-0.03741405822349277,0.03883699953678383,9.468585602839712e-4
