GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AJR001,AJU001,AJU002,AJU003,AJV001,AJV002
"G0500870","1870","Arkansas","050","Madison","0870","Madison","42","870",8231,32863,2315,74232,623845,34563
"G0500890","1870","Arkansas","050","Marion","0890","Marion","42","890",3979,12020,1462,45009,149545,18305
"G0500930","1870","Arkansas","050","Mississippi","0930","Mississippi","42","930",3633,12573,63932,80,477166,21356
"G0500950","1870","Arkansas","050","Monroe","0950","Monroe","42","950",8336,31852,5754,50941,1266794,43305
"G0500970","1870","Arkansas","050","Montgomery","0970","Montgomery","42","970",2984,9664,20172,1623,133835,7065
"G0501010","1870","Arkansas","050","Newton","1010","Newton","42","1010",4374,14256,14814,0,226030,7366
"G0501030","1870","Arkansas","050","Ouachita","1030","Ouachita","42","1030",12975,66852,209523,5030,837802,70730
"G0501050","1870","Arkansas","050","Perry","1050","Perry","42","1050",2685,8763,36386,0,242765,10215
"G0501070","1870","Arkansas","050","Phillips","1070","Phillips","42","1070",15372,49947,33393,4436,1943465,18047
"G0501090","1870","Arkansas","050","Pike","1090","Pike","42","1090",3788,12966,498,52627,200697,14617
"G0501110","1870","Arkansas","050","Poinsett","1110","Poinsett","42","1110",1720,5388,976,16592,100945,4684
"G0501130","1870","Arkansas","050","Polk","1130","Polk","42","1130",3376,5669,14037,0,67070,5389
"G0501150","1870","Arkansas","050","Pope","1150","Pope","42","1150",8386,26892,61843,180,669301,18723
"G0501170","1870","Arkansas","050","Prairie","1170","Prairie","42","1170",5604,13101,72617,9741,356045,11541
"G0501190","1870","Arkansas","050","Pulaski","1190","Pulaski","42","1190",32066,62702,150472,4347,2633509,105574
"G0501210","1870","Arkansas","050","Randolph","1210","Randolph","42","1210",7466,25109,90749,8570,448530,31421
"G0501230","1870","Arkansas","050","St Francis","1230","St Francis","42","1230",6714,22175,26189,246,355410,5435
"G0501250","1870","Arkansas","050","Saline","1250","Saline","42","1250",3911,18820,43568,870,311603,12336
"G0501270","1870","Arkansas","050","Scott","1270","Scott","42","1270",7483,30320,1168,65939,394421,17469
"G0501290","1870","Arkansas","050","Searcy","1290","Searcy","42","1290",5614,18773,22217,8597,309501,12883
"G0501310","1870","Arkansas","050","Sebastian","1310","Sebastian","42","1310",12940,38926,118562,9559,1190008,64744
"G0501330","1870","Arkansas","050","Sevier","1330","Sevier","42","1330",4492,17379,74394,2594,312220,24895
"G0501350","1870","Arkansas","050","Sharp","1350","Sharp","42","1350",5400,22755,103321,165,365760,28657
"G0501390","1870","Arkansas","050","Union","1390","Union","42","1390",10571,66932,236581,3405,794650,12565
"G0501410","1870","Arkansas","050","Van Buren","1410","Van Buren","42","1410",5107,16556,42661,0,269730,14068
"G0501430","1870","Arkansas","050","Washington","1430","Washington","42","1430",17266,73145,3409,203873,2037060,43736
"G0501450","1870","Arkansas","050","White","1450","White","42","1450",10347,45924,135753,28747,532877,52023
"G0501470","1870","Arkansas","050","Woodruff","1470","Woodruff","42","1470",6891,25665,487,82030,529450,59143
"G0501490","1870","Arkansas","050","Yell","1490","Yell","42","1490",8048,22773,66331,11211,734354,15825
"G0600010","1870","California","060","Alameda","0010","Alameda","71","10",24237,178661,625,36762,16747770,201425
"G0600030","1870","California","060","Alpine","0030","Alpine","71","30",685,12365,1180,125564,82800,7790
"G0600050","1870","California","060","Amador","0050","Amador","71","50",9582,41534,2640,17142,486400,46015
"G0600070","1870","California","060","Butte","0070","Butte","71","70",11403,187995,4967,25703,2423300,107345
"G0600090","1870","California","060","Calaveras","0090","Calaveras","71","90",8895,41000,13666,25382,221245,25445
"G0600110","1870","California","060","Colusa","0110","Colusa","71","110",6165,223337,29395,227595,4408064,143563
"G0600130","1870","California","060","Contra Costa","0130","Contra Costa","71","130",8461,279100,6140,18017,4936635,149019
"G0600150","1870","California","060","Del Norte","0150","Del Norte","71","150",2022,9877,4065,7965,165950,7895
"G0600170","1870","California","060","El Dorado","0170","El Dorado","71","170",10309,73823,29264,27196,672285,24927
"G0600190","1870","California","060","Fresno","0190","Fresno","71","190",6336,24536,6191,108327,629705,33915
"G0600230","1870","California","060","Humboldt","0230","Humboldt","71","230",6140,89851,11647,17832,1244775,52428
"G0600270","1870","California","060","Inyo","0270","Inyo","71","270",1956,4988,0,7898,148520,22550
"G0600290","1870","California","060","Kern","0290","Kern","71","290",2925,9066,310,244070,339650,14375
"G0600315","1870","California","060","Klamath","0315","Klamath","71","315",1686,3309,4020,5108,69850,2859
"G0600330","1870","California","060","Lake","0330","Lake","71","330",2969,17508,619,115183,713100,44931
"G0600350","1870","California","060","Lassen","0350","Lassen","71","350",1327,37353,100,8142,297800,27780
"G0600370","1870","California","060","Los Angeles","0370","Los Angeles","71","370",15309,234883,0,371429,4245885,76123
"G0600410","1870","California","060","Marin","0410","Marin","71","410",6903,247186,23197,44368,5532313,170665
"G0600430","1870","California","060","Mariposa","0430","Mariposa","71","430",4572,24184,44310,14702,346500,4300
"G0600450","1870","California","060","Mendocino","0450","Mendocino","71","450",7545,62043,14950,79382,1364643,66832
"G0600470","1870","California","060","Merced","0470","Merced","71","470",2807,474755,4138,82838,2324112,72100
"G0600510","1870","California","060","Mono","0510","Mono","71","510",430,9190,2500,11770,84300,13825
"G0600530","1870","California","060","Monterey","0530","Monterey","71","530",9876,150291,11196,847674,5150298,230296
"G0600550","1870","California","060","Napa","0550","Napa","71","550",7163,38539,1572,48480,1998190,41885
"G0600570","1870","California","060","Nevada","0570","Nevada","71","570",19134,7974,20943,8521,508750,40810
"G0600610","1870","California","060","Placer","0610","Placer","71","610",11357,71057,7283,64519,994200,54360
"G0600630","1870","California","060","Plumas","0630","Plumas","71","630",4489,66131,2140,100,441510,43675
"G0600670","1870","California","060","Sacramento","0670","Sacramento","71","670",26830,318659,5699,101763,5052160,177250
"G0600710","1870","California","060","San Bernardino","0710","San Bernardino","71","710",3988,7129,860,14504,191242,12770
"G0600730","1870","California","060","San Diego","0730","San Diego","71","730",4951,10963,503,321495,782662,24737
"G0600750","1870","California","060","San Francisco","0750","San Francisco","71","750",149473,3792,0,4506,5817400,31205
"G0600770","1870","California","060","San Joaquin","0770","San Joaquin","71","770",21050,428061,0,2410,7874365,545146
"G0600790","1870","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",4772,457846,12058,85828,1869673,32196
"G0600810","1870","California","060","San Mateo","0810","San Mateo","71","810",6635,44626,15060,98259,3397701,113407
"G0600830","1870","California","060","Santa Barbara","0830","Santa Barbara","71","830",7784,40026,11746,739528,5323963,103805
"G0600850","1870","California","060","Santa Clara","0850","Santa Clara","71","850",26246,168315,21246,128545,12022722,380902
"G0600870","1870","California","060","Santa Cruz","0870","Santa Cruz","71","870",8743,38352,44351,20905,1870800,36960
"G0600890","1870","California","060","Shasta","0890","Shasta","71","890",4173,22332,6680,9673,324973,31780
"G0600910","1870","California","060","Sierra","0910","Sierra","71","910",5619,13204,4817,5016,170950,15075
"G0600930","1870","California","060","Siskiyou","0930","Siskiyou","71","930",6848,66674,688,30306,724755,69246
"G0600950","1870","California","060","Solano","0950","Solano","71","950",16871,360536,100,11276,10170758,466910
"G0600970","1870","California","060","Sonoma","0970","Sonoma","71","970",19819,402026,38392,58139,10079184,429579
"G0600990","1870","California","060","Stanislaus","0990","Stanislaus","71","990",6499,389239,19006,132811,4302840,368542
"G0601010","1870","California","060","Sutter","1010","Sutter","71","1010",5030,197966,6998,28599,2072288,118981
"G0601030","1870","California","060","Tehama","1030","Tehama","71","1030",3587,185390,2230,21568,1353815,78340
"G0601050","1870","California","060","Trinity","1050","Trinity","71","1050",3213,2307,155,6070,78550,9550
"G0601070","1870","California","060","Tulare","1070","Tulare","71","1070",4533,35028,1530,52086,812900,81605
"G0601090","1870","California","060","Tuolumne","1090","Tuolumne","71","1090",8150,18736,5110,39302,296365,17640
"G0601130","1870","California","060","Yolo","1130","Yolo","71","1130",9899,307159,3837,180741,8720586,294942
"G0601150","1870","California","060","Yuba","1150","Yuba","71","1150",10851,79231,29756,46093,1350827,148989
"G0850015","1870","Colorado Territory","085","Arapahoe","0015","Arapahoe","62","50",6829,6738,321,13599,387600,28240
"G0850035","1870","Colorado Territory","085","Bent","0035","Bent","62","110",592,985,0,7070,56090,3788
"G0850055","1870","Colorado Territory","085","Boulder","0055","Boulder","62","130",1939,14365,0,28308,575650,36267
"G0850075","1870","Colorado Territory","085","Clear Creek","0075","Clear Creek","62","190",1596,0,0,0,0,0
"G0850095","1870","Colorado Territory","085","Conejos","0095","Conejos","62","210",2504,5218,0,18591,125032,17780
