GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AUM001,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AUY001,AUY002
"G0501170","1890","Arkansas","050","Prairie","1170","Prairie","42","1170",11374,4363,2734,1811,0,0,0,0,0,0,0,10,0,1425890,87570
"G0501190","1890","Arkansas","050","Pulaski","1190","Pulaski","42","1190",47329,21935,14921,13708,18,12,4,0,0,0,47,16,6,2879700,122510
"G0501210","1890","Arkansas","050","Randolph","1210","Randolph","42","1210",14485,595,627,357,0,0,0,0,0,0,0,0,0,1530790,85330
"G0501230","1890","Arkansas","050","St Francis","1230","St Francis","42","1230",13543,8000,3467,2446,0,0,0,0,0,0,2,1,0,1499510,68210
"G0501250","1890","Arkansas","050","Saline","1250","Saline","42","1250",11311,1484,1366,185,0,0,0,0,0,0,0,1,0,967230,55380
"G0501270","1890","Arkansas","050","Scott","1270","Scott","42","1270",12635,31,83,121,0,0,0,0,0,0,3,6,0,1267660,71490
"G0501290","1890","Arkansas","050","Searcy","1290","Searcy","42","1290",9664,28,16,30,0,0,0,0,0,0,6,0,0,715760,39680
"G0501310","1890","Arkansas","050","Sebastian","1310","Sebastian","42","1310",33200,3740,1541,1354,15,0,0,0,0,0,47,49,41,3278420,116050
"G0501330","1890","Arkansas","050","Sevier","1330","Sevier","42","1330",10072,1453,1096,968,0,0,0,0,0,0,3,8,1,949250,41290
"G0501350","1890","Arkansas","050","Sharp","1350","Sharp","42","1350",10418,177,176,114,0,0,0,0,0,0,1,0,0,865150,54710
"G0501370","1890","Arkansas","050","Stone","1370","Stone","42","1370",7043,113,99,0,0,0,0,0,0,0,0,6,0,552170,39440
"G0501390","1890","Arkansas","050","Union","1390","Union","42","1390",14977,6372,6434,4896,0,0,0,0,0,0,0,0,0,998950,72940
"G0501410","1890","Arkansas","050","Van Buren","1410","Van Buren","42","1410",8567,162,118,119,0,0,0,0,0,0,0,0,0,676310,42860
"G0501430","1890","Arkansas","050","Washington","1430","Washington","42","1430",32024,1010,944,674,0,0,0,0,0,0,0,6,2,6209340,222490
"G0501450","1890","Arkansas","050","White","1450","White","42","1450",22946,2563,2032,1200,0,0,0,0,0,0,4,1,1,2473160,111550
"G0501470","1890","Arkansas","050","Woodruff","1470","Woodruff","42","1470",14009,7556,4483,2686,1,0,0,0,0,0,0,0,0,1991060,86970
"G0501490","1890","Arkansas","050","Yell","1490","Yell","42","1490",18015,1362,1118,767,0,0,0,0,0,0,1,1,0,1844790,104510
"G0600010","1890","California","060","Alameda","0010","Alameda","71","10",93864,785,686,81,3311,4386,1939,184,16,0,25,103,111,28516550,534630
"G0600030","1890","California","060","Alpine","0030","Alpine","71","30",667,3,1,1,5,17,8,0,0,0,224,0,0,160000,10710
"G0600050","1890","California","060","Amador","0050","Amador","71","50",10320,26,73,72,324,1115,1627,3,0,0,58,272,0,3223170,149350
"G0600070","1890","California","060","Butte","0070","Butte","71","70",17939,223,136,84,1530,3793,2082,3,0,0,319,522,40,18811260,538910
"G0600090","1890","California","060","Calaveras","0090","Calaveras","71","90",8882,77,56,31,326,1037,1441,3,0,0,77,169,18,1320660,87010
"G0600110","1890","California","060","Colusa","0110","Colusa","71","110",14640,139,97,81,924,970,271,5,0,0,277,353,424,28073930,742280
"G0600130","1890","California","060","Contra Costa","0130","Contra Costa","71","130",13515,54,33,21,465,732,160,11,1,0,3,47,9,14373890,368320
"G0600150","1890","California","060","Del Norte","0150","Del Norte","71","150",2592,5,8,12,7,434,217,2,0,0,376,411,784,895700,26900
"G0600170","1890","California","060","El Dorado","0170","El Dorado","71","170",9232,183,132,132,518,1484,1560,2,5,22,136,193,6,2662900,75820
"G0600190","1890","California","060","Fresno","0190","Fresno","71","190",32026,457,40,15,2736,753,427,12,0,0,347,794,2635,46755740,905150
"G0600230","1890","California","060","Humboldt","0230","Humboldt","71","230",23469,48,23,0,19,241,39,1,0,0,1379,1935,76,11811370,229650
"G0600270","1890","California","060","Inyo","0270","Inyo","71","270",3544,12,4,8,89,90,29,0,0,0,850,637,311,1234900,62220
"G0600290","1890","California","060","Kern","0290","Kern","71","290",9808,130,4,4,1124,702,143,3,0,0,337,332,585,9934100,222750
"G0600315","1890","California","060","Klamath","0315","Klamath","71","315",0,0,0,2,0,0,542,0,0,0,0,0,61,,
"G0600330","1890","California","060","Lake","0330","Lake","71","330",7101,41,14,2,210,469,119,0,0,0,556,774,23,4957070,111110
"G0600350","1890","California","060","Lassen","0350","Lassen","71","350",4239,6,2,0,41,50,17,0,0,0,335,330,1,2868800,148910
"G0600370","1890","California","060","Los Angeles","0370","Los Angeles","71","370",101454,1817,188,134,4424,1169,234,36,1,2,144,316,219,51115820,651100
"G0600410","1890","California","060","Marin","0410","Marin","71","410",13072,164,37,22,915,1327,361,24,7,0,31,162,126,8996190,184940
"G0600430","1890","California","060","Mariposa","0430","Mariposa","71","430",3787,69,63,90,181,697,1084,0,0,0,152,184,34,1083470,46970
"G0600450","1890","California","060","Mendocino","0450","Mendocino","71","450",17612,35,4,9,359,346,129,1,0,0,581,1265,542,7425580,162540
"G0600470","1890","California","060","Merced","0470","Merced","71","470",8085,47,59,36,746,575,186,0,0,0,30,7,37,20698700,486760
"G0600490","1890","California","060","Modoc","0490","Modoc","71","490",4986,12,23,0,22,17,0,0,0,0,499,404,0,3161850,134250
"G0600510","1890","California","060","Mono","0510","Mono","71","510",2002,3,19,0,146,363,42,0,0,0,368,35,2,778640,24420
"G0600530","1890","California","060","Monterey","0530","Monterey","71","530",18637,90,60,16,1667,372,230,1,0,0,58,222,201,20141740,489210
"G0600550","1890","California","060","Napa","0550","Napa","71","550",16411,89,104,109,875,905,263,6,2,0,15,64,66,16959880,341070
"G0600570","1890","California","060","Nevada","0570","Nevada","71","570",17369,110,150,165,1053,3003,2627,5,2,0,159,101,8,2022630,81690
"G0600590","1890","California","060","Orange","0590","Orange","71","590",13589,15,0,0,162,0,0,0,0,0,5,0,0,8670350,175150
"G0600610","1890","California","060","Placer","0610","Placer","71","610",15101,36,69,95,1429,2190,2410,6,0,0,73,91,2,8599370,177800
"G0600630","1890","California","060","Plumas","0630","Plumas","71","630",4933,7,9,2,307,871,911,0,1,0,374,538,5,1232750,60400
"G0600670","1890","California","060","Sacramento","0670","Sacramento","71","670",40339,513,560,475,4371,4892,3595,51,1,1,40,14,34,19864260,395920
"G0600690","1890","California","060","San Benito","0690","San Benito","71","690",6412,63,6,0,85,242,0,0,0,0,41,81,0,7457400,179580
"G0600710","1890","California","060","San Bernardino","0710","San Bernardino","71","710",25497,313,17,8,682,123,16,2,0,0,399,658,0,30377240,295120
"G0600730","1890","California","060","San Diego","0730","San Diego","71","730",34987,376,13,15,909,229,70,13,0,0,478,1702,28,18509270,433510
